self,title,artifact,image,thumbnail,materials,dimensions,date,origin,distance,collection,link,license,link2,ledger,department,customer,page,origin2,production1,production2,materials2,description,author,book,publisher,author2,book2,publisher2,unit,pounds,pounds2,dollars,analytics,Thumb1,Thumb2,Thumb3,Thumb4,Thumb5,Thumb6,Thumb7,New Description,Notes,Notes2
Measure,Half Gallon Measure,Measure,Measure.jpg,MeasureThumbnail.jpg,Pewter,"OH: 9 1/2""; Diam (base): 4 7/8""",1690-1720,England,"3,607 mi.",Image Courtesy of The Colonial Williamsburg Foundation,http://emuseum.history.org/view/objects/asitem/items$0040:23575,All rights reserved,http://www.history.org/foundation/terms_faqs.cfm?showSite=mobile,MeasureLedger.jpg,Foodways,William Snoodgrace,226,,,,,A measure is a tool used to measure quantity of liquid.,,,,,,,1,10 shillings,68,112,"The databases record six purchases of measures, all by men. The measures range in size from a half pint to a half gallon. Their prices range from three shillings four pence for a one pint measure to ten shillings six pence for a half gallon measure.",Hat,MensCloak,Salt,Handkerchief,ShoeBuckle,Paper,ForkKnife,,,
MortarPestle,Mortar and Pestle,Mortar and Pestle,MortarPestle.jpg,MortarPestleThumbnail.jpg,Free-blown glass,Unknown,1739-1780,"Salem, NJ",127 mi.,MetMuseum,http://metmuseum.org/art/collection/search/5229?ft=mortar&amp;pg=2&amp;rpp=20&amp;pos=23,OASC,http://www.metmuseum.org/about-the-met/policies-and-documents/image-resources/frequently-asked-questions,MortarPestleLedger.jpg,Foodways,Nathaniel Smith,111,,,,,"The mortar and pestle were common kitchen items used for various functions. Though associated together, the mortar (bowl) and pestle (small club) could be used on their own. The mortar was used as a mixing bowl for small amount of ingredients and the pestle was used to bruise or crush things. By bruising, crushing, or grinding, the use of a mortar and pestle together would allow a cook to release flavors otherwise stuck in various foods. They were also used for breaking down and combining medicinal plants and herbs.","Katharine E. Harbury,",Colonial Virginia's Cooking Dynasty,"(Columbia: University of South Carolina Press, 2004)","Andrew F. Smith, ed.,",The Oxford Companion to American Food and Drink,"(New York: Oxford University Press, 2007)",s,9 shillings,61.2,101,The databases record five purchases of mortars and pestles. These ranged from nine shillings to twelve shillings six pence.,Cards,WomensCloak,Coffee,Stays,Osnaburg,Sugar,Rum,,,
Mug,Stoneware Mug,“Melon ware” Green Glazed Mug,Mug.jpg,MugThumbnail.jpg,earthenware,,1760-80,,,The Smithsonian,http://collections.si.edu/search/results.htm?q=record_ID:nmah_571307,Fair Use,http://www.si.edu/Termsofuse,MugLedger.jpg,Foodways,Brigantine Fairfax,160,"When imported, earthenware typically came from Britain, particularly from the pottery districts of Staffordshire.",England,Staffordshire,,Mugs were vessels used for drinking beverages. They could be simply adorned or lavishly decorated. The bright green glaze of the mug pictured was a novelty made possible by avid experimentation by British potters to make thinner clay bodies and brighter more controlled decoration by the mid eighteenth century.,"Philippa Glanville and Hilary Young, ed.,","Elegant Eating: Four Hundred Years of Dining in Style,","(London: Victoria and Albert Museum, 2002).",,,,,9 pence,5.1,8.41,"The databases record eight purchases of mugs. These came in either one or two quart sizes. Only one mug was qualified as stone(ware), while none of the other mugs had qualifiers, the low price of either six or nine pence indicates varying ceramic types. The difference in price does not correspond with the size of the mug.",Tea,Linen,Tea,Rope,Handkerchief,Shoes,,,,
Plate,Plates,Plate,Plate.jpg,PlateThumbnail.jpg,Tin-glazed earthenware (delft),"D: 9 3/4""",ca. 1775,"London, England","3,667 mi.",Image Courtesy of The Colonial Williamsburg Foundation,http://emuseum.history.org/view/objects/asitem/items$0040:48266,All rights reserved,http://www.history.org/foundation/terms_faqs.cfm?showSite=mobile,PlateLedger.jpg,Foodways,William Baker,33,Earthenware plates were typically imported from Staffordshire.,England,Staffordshire,,"Plates are a generally flat type of dish used for eating food. They could be simple metal or ceramic objects or highly decorated pieces of art. Dining arrangements at wealthier homes could include many different plates within the same meal, for different dishes, types of food, or parts of the service. Plates were typically made of either pewter or ceramic. Pewter was more expensive but was not likely to break in handling like a ceramic one and retained some value through melting down.","Philippa Glanville and Hilary Young, ed.,","Elegant Eating: Four Hundred Years of Dining in Style,","(London: Victoria and Albert Museum, 2002).",,,,1,11 shillings for a half dozen,73.1,121,"The databases record twenty-one purchases of plates from the store. Plates were most commonly sold in half dozen units and were identified as either pewter or ceramic. “Delph” (tin-glazed earthenware) sold for one shilling two pence. Some were identified as ""soup plates."" The prices ranged from five pence for half a dozen soup plates to twenty-two shillings and six pence for a dozen soup plates.",Brush,Check,ShoeBuckle,Candlesticks,Teakettle,Pot,Tea,,,
Pot,Iron Pot,Iron Pot,Pot.jpg,PotThumbnail.jpg,Iron,8 1/2 x 14 1/2 in.,Eighteenth Century,,,Metropolitan Museum of Art,http://www.metmuseum.org/art/collection/search/6733,OASC,http://www.metmuseum.org/about-the-met/policies-and-documents/image-resources/frequently-asked-questions,PotLedger.jpg,Foodways,Thomas Self,222,Iron ore was mined in the colonies and local ironworks produced a variety of everyday wares including pots. More specialized or higher quality items may have been imported from Britain.,AmericanColonies,,AmericanColonies,"Iron pots were typically used for cooking soups, stews and puddings. The handle was used to hang the pot over an open flame on a swinging crane, or hook attached to the wall of the fireplace.",Nancy Carter Crump,Hearthside Cooking.,"(Verginia: McClean, 1986), 22-24","Martin, Ann Smart.",Buying Into the World of Goods: Early Consumers in Backcountry Virginia.,"(Baltimore: Johns Hopkins University Press, 2008): 186-188.",,3 pence,1.7,2.8,"The databases record thirty purchases of pots, most of which are labeled as iron. The pots are identified by weight ranging from sixteen to sixty five lbs. Their prices ranged from two shillings to four and a half shillings.",Osnaburg,Handkerchief,Pepper,Primer,Linen,Check,Scissors,,,
PunchBowl,Punch Bowl,Punch Bowl,Punchbowl.jpg,PunchbowlThumbnail.jpg,Stoneware with salt glaze and enamel,Height: 3 1/2 in. Diameter: 8 7/8 in.,Circa 1750,"Staffordshire, England","3,554 mi.",LACMA,http://collections.lacma.org/node/248802,Public Domain,http://www.lacma.org/about/contact-us/terms-use,PunchbowlLedger.jpg,Foodways,John Kirkpatrick,378,"Delineated as ""China"" it was one of the few pieces in the database of more expensive porcelains exported from China and probably sold by the East India Company in London in smaller parcels to merchants and repackaged in shipments to the colonies. However, porcelain in general would have been imported from England.",China,,,"Punch bowls, commonly ranging in size from pint to two quart, were used to serve a mix of alcohol (usually rum), lemons or limes, and juices. These bowls could be passed from drunken mouth to hand in taverns. More polite punch drinking might occur at home.","Philippa Glanville and Sophie Lee, ed.,",The Art of Drinking,"(London: Victoria and Albert Museum, 2007)","Robin Hildyard, ""Toasts and Loving Cups, 1640-1830,"" in","Elegant Eating: Four Hundred Years of Dining in Style,","ed. Philippa Glanville and Hilary Young (London: Victoria and Albert Museum, 2002), 104-107.",1,6 shillings,40.8,67.3,"John Kirkpatrick purchased the only punch bowl in William Ramsay's ledger. He bought the bowl on November 10, 1755.",Button,Mohair,Cotton,Thread,Needle,Paper,,,,
Quart,Pewter Quart,Quart,Quart.jpg,QuartThumbnail.jpg,Pewter,"OH: 8 7/8""; Diam (base): 4 ¼""",1740-1770,"England, West Country (probably)","3,607 mi.",Image Courtesy of The Colonial Williamsburg Foundation,http://emuseum.history.org/view/objects/asitem/items$0040:47809,All rights reserved,http://www.history.org/foundation/terms_faqs.cfm?showSite=mobile,QuartLedger.jpg,Foodways,Nathaniel Popjoy,123,,,,,"A quart is a vessel that holds one-quarter of a gallon worth of a liquid. A quart could refer to a tool used to measure quantity of liquid, or to a vessel used to imbibe, such as a mug.","Katharine E. Harbury,",Colonial Virginia's Cooking Dynasty,"(Columbia: University of South Carolina Press, 2004)","Andrew F. Smith, ed.,",The Oxford Companion to American Food and Drink,"(New York: Oxford University Press, 2007)",1,"3 shillings, 9 pence",25.5,42,The databases record two purchases of quarts. Both were three shillings nine pence and made of pewter.,,Handkerchief,Bridle,Rum,Bible,,,,,
Spoon,Dessert Spoon,Dessert Spoon,Spoon.jpg,SpoonThumbnail.jpg,Silver gilt,1/2 x 7 x 1 1/2 in.,Circa 1740,London,"3,667 mi.",LACMA,http://collections.lacma.org/node/198018,Public Domain,http://www.lacma.org/about/contact-us/terms-use,SpoonLedger.jpg,Foodways,Captain Charles Broadwater,70,,,,,"A spoon is a type of flatware with a small, shallow bowl and an oval or round handle. Spoons were used primarily for serving, but also for food preparation to measure, mix, stir and toss ingredients. They were commonly used for tea service. Metal spoons were the most common, although occasionally handles were ornamented with ceramic or other inlays.","Helen Clifford, ""Knives, Forks and Spoons, 1600-1830,"" in","Elegant Eating: Four Hundred Years of Dining in Style,","ed. Philippa Glanville and Hilary Young (London: Victoria and Albert Museum, 2002), 60-63.",,,,,"2 shillings, 2 pence for 1 dozen",14.7,24.2,"The databases record thirty-two purchases of spoons. These purchases ranged from single soup spoons up to sets of a dozen pieces although the most common quantity of spoons was half a dozen. Many of the spoons were made of pewter. One set of silver tea accouterments was purchased including spoons, tongs, and a strainer. The cost of spoons ranges from twelve pence for one soup spoon to thirteen pence for half a dozen spoons.",Stays,Shoes,Gloves,Candlesticks,Iron,Ribbon,Linen,,,
TeaKettle,Tea Kettle,Tea Kettle,Teakettle.jpg,TeakettleThumbnail.jpg,"Silver, wood",Kettle: 15 1/2 x 10 x 7 1/2 in.,1724-1725,London,"3,667 mi.",MetMuseum,http://www.metmuseum.org/art/collection/search/204896,OASC,http://www.metmuseum.org/about-the-met/policies-and-documents/image-resources/frequently-asked-questions,TeakettleLedger.jpg,Foodways,James Connell,203,,,,,"With the popularity of tea, the kettle was a crucial piece of home equipment. Kettles could range from the simplest of objects to extremely ornate, decorative display pieces. Some silver tea kettles, used during a formal service, were designed to keep the water hot, either from a small lamp underneath or by a warmed interior.","Pippa Shirley, ""Tea, Coffee and Chocolate,"" in","Elegant Eating: Four Hundred Years of Dining in Style,","ed. Philippa Glanville and Hilary Young (London: Victoria and Albert Museum, 2002), 108-111",,,,1,12 shillings,81.6,135,The databases record ten purchases of tea kettles. These range in price from twelve shillings for a small kettle to thirty shillings for a copper kettle. At least five of the kettles were labeled as being made out of copper.,Tea,Thread,Rum,Allspice,Nail,Check,Comb,,,
Boots,Boots,Pair of Man's Riding Boots and Box,Boots.jpg,BootsThumbnail.jpg,"Leather, Silver Nails",18 x 10 1/2 in.,1790-1800,France,,LACMA,http://collections.lacma.org/node/235713,Public Domain,http://www.lacma.org/about/contact-us/terms-use,BootsLedger.jpg,Footwear,C. Gustavus Splittdorf,353,"Boots were produced both ready to wear and to order in the colonies, but higher quality boots were frequently imported from London.",England,London,,"Mens boots were typically made of leather and were more functional and practical than women's shoes or men's pumps. Like shoes, however, most boots sold in the Ramsay store were single channel, indicating less stitching and therefore lower quality than double channel boots.",Linda Baumgarten.,Eighteenth-Century Clothing at Williamsburg.,"(Williamsburg, Va: Colonial Williamsburg Foundation, 1986).",Linda Baumgarten.,What Clothes Reveal: The Language of Clothing in Colonial and Federal America,"(New Haven: Colonial Williamsburg Foundation in association with Yale University Press, 2002).",1 pr.,"1 pound, 1shilling, 6pence per pair",146,241,The databases record only two pairs of boots. The prices range from one pound sixteen shillings for a pair of double channel boots No. 1 to one pound one shilling and six pence for a pair of unspecified boots.,Hose,Shoes,Button,Silk,Mohair,Linen,,,,
Buckles1,Shoe Buckle,Shoe Buckles,ShoeBuckle.jpg,ShoeBuckleThumbnail.jpg,Steel,2 1/4 x 2 3/4 in.,Circa 1770-1785,,,LACMA,http://collections.lacma.org/node/246563,Public Domain,http://www.lacma.org/about/contact-us/terms-use,ShoeBuckleLedger.jpg,Footwear,Mrs. Sarah Wigginton,272,Buckles were frequently imported from Sheffield or Birmingham,England,Sheffield,,"Buckles were the most common means of fastening shoes from the mid seventeenth century through the end of the eighteenth century. While they did serve a practical function, they often served as fashion accessories worn by both men and women. By changing out buckles of different styles and levels of ornament, a single pair of shoes could be adapted to different social functions. They were fashioned from a variety of metals ranging from elaborately decorated jewel-encrusted silver to simple iron rectangles. Lower grades of metal such as steel, brass, copper, or pewter were often still cast in ornamental molds.",Ivor Noël Hume.,A Guide to Artifacts of Colonial America.,"(Philadelphia: University of Pennsylvania Press, 2001), 84-86.","James M. Gaynor and Nancy L. Hagedorn,",Tools: Working Wood in Eighteenth-Century America,"(Williamsburg, VA: The Colonial Williamsburg Foundation, 1993).",2 pr.,10 pence per pair,5.67,9.35,The databases record only four purchases of shoe buckles. Their prices range from ten pence to one shilling ten pence.,Sugar,Paper,InkPowder,Nail,Tea,Linen,Mitts,,,
Buckles2,Best Steel Shoe Buckles,Steel Shoe Buckles,ShoeBuckle2.jpg,ShoeBuckle2Thumbnail.jpg,"Pewter, Steel",2 5.8 x 2 in.,1780s,United States,,LACMA,http://collections.lacma.org/node/228165,Public Domain,http://www.lacma.org/about/contact-us/terms-use,ShoeBuckle2Ledger.jpg,Footwear,Captain Lewis Ellzey,30,Buckles were frequently imported from Sheffield or Birmingham,England,Birmingham,,"Buckles were the most common means of fastening shoes from the mid seventeenth century through the end of the eighteenth century. While they did serve a practical function, they often served as fashion accessories worn by both men and women. By changing out buckles of different styles and levels of ornament, a single pair of shoes could be adapted to different social functions. They were fashioned from a variety of metals ranging from elaborately decorated jewel-encrusted silver to simple iron rectangles. Lower grades of metal such as steel, brass, copper, or pewter were often still cast in ornamental molds.",Ivor Noël Hume.,A Guide to Artifacts of Colonial America.,"(Philadelphia: University of Pennsylvania Press, 2001), 84-86.","James M. Gaynor and Nancy L. Hagedorn,",Tools: Working Wood in Eighteenth-Century America,"(Williamsburg, VA: The Colonial Williamsburg Foundation, 1993).",2 pr.,"1 shilling, 10 pence per pair",12.5,20.6,The databases record only four purchases of shoe buckles. Their prices range from ten pence to one shilling ten pence.,Lawn,Cambric,Linen,Thread,Needle,Hose,Gloves,,,
Pump,Pumps,Pumps,Pumps.jpg,PumpsThumbnail.jpg,Silk,,1780s,France,,Metropolitan Museum of Art,https://metmuseum.org/art/collection/search/112671,OASC,http://www.metmuseum.org/about-the-met/policies-and-documents/image-resources/frequently-asked-questions,PumpsLedger.jpg,Footwear,Gershom Keyes,287,,,,,,,,,,,,1 pair,"9 shillings, 9 pence",66.3,109,"The databases record thirty purchases of pumps, of which nine are identified as ‘single channel’ and nine as ‘double channel’. Four are identified as ‘turned’, five are identified as ‘mens’ and only two are identified as ‘womens’. Their prices range from three shillings six pence for a pari of turned women’s pumps to thirty one shillings six pence for a pair of women’s pumps.",Check,Linen,Button,Silk,Buckram,Hose,Hat,*,,
Shoes,Woman's Best Shoes,Shoes,Shoes.jpg,ShoesThumbnail.jpg,"Damask, Satin, Wool etc.",,18th Century,England or America,"3,607 mi.",Image Courtesy of The Colonial Williamsburg Foundation,http://emuseum.history.org/view/objects/asitem/items$0040:12049,All rights reserved,http://www.history.org/foundation/terms_faqs.cfm?showSite=mobile,ShoesLedger.jpg,Footwear,Vorlinda Wade,126,"Shoes were produced both ready to wear and to order in the colonies, but higher quality shoes were frequently imported from London.",England,London,,"Shoes in the eighteenth century, as today, varied greatly in style, function, and material. While women's shoes for the less wealthy would have been made of more durable leather, upper-class women's shoes were made in silks, satins, and callamancos that while beautiful, would not withstand the elements or much rigorous activity. These were frequently fastened with lavish buckles which were also status symbols. Shoe sizing was not standardized, so shoe measurements were imprecise. The most wealthy customer could send sketches of their feet to special order from England, but even this method was not a guarantee of fit. Purchasing ready-made and imported shoes allowed the prestige and craftsmanship of London shoemakers, but was likely not a comfortable option. A further distinction is made in the accounts between single and double channel shoes which had more stitching and were therefore of higher quality.",Linda Baumgarten.,Eighteenth-Century Clothing at Williamsburg.,"(Williamsburg, Va: Colonial Williamsburg Foundation, 1986).",Giorgio Riello and Peter McNeil. “Walking the Streets of London and Paris: Shoes in the Enlightenment” in,Shoes : a History from Sandals to Sneakers.,"Edited by Peter McNeil and Giorgio Riello. (Oxford ; New York :Berg, 2006).",1 pair,"3 shillings, 6pence per pair",23.8,39.2,"The databases record Forty-seven pairs of shoes and twenty-seven pairs of pumps. They come in mens, womens, boys, and youth sizes. They are qualified by terms such as best, strong, and No. 1. The pumps are identified as either single or double channel. The only materials listed are silk and callamanco. Their prices range from one shilling for a pair of mens shoes to thirty-seven shillings and nine pence for a pair of womens pumps.",Cotton,Thread,Check,Lace,Linen,Pins,Hose,,,
Allspice,Allspice,Allspice,Allspice.jpg,AllspiceThumbnail.jpg,Allspice,,,,,Jonathunder via Wikimedia Commons,https://commons.wikimedia.org/wiki/File:AllspiceBowl.JPG,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/deed.en,AllspiceLedger.jpg,Grocery,Hannah Janey,129,Europeans originally encountered allspice in the West Indies.,,,WestIndies,"Allspice is an aromatic spice made from the ground, dried berries of the tree with the same name. It was incorporated into many different recipes, especially sweets. Recent research suggests that the use of spices such as allspice was as much about their antiseptic properties as it was about their flavor.","Katharine E. Harbury,",Colonial Virginia's Cooking Dynasty,"(Columbia: University of South Carolina Press, 2004)","Andrew F. Smith, ed.,",The Oxford Companion to American Food and Drink,"(New York: Oxford University Press, 2007)",0.5 pounds,8 pence per 1/2 lb,4.53,7.47,The databases record six purchases of allspice. Four of these are for half a pound and two are for a pound of allspice. These ranged from eight pence to one shilling one and a half pence for half a pound.,Paper,Check,Hat,Check,Button,Handkerchief,Indigo,,,
Butter,Butter,Butter,Butter.jpg,ButterThumbnail.jpg,Butter,,,,,Thomas Bjørkan,https://commons.wikimedia.org/wiki/File:Butterplate.JPG,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/deed.en,ButterLedger.jpg,Grocery,John Gist,35,,,,,"Butter was a common ingredient for cakes, pies, and other sweets. Butter was also used in cooking poultry, meat, fish, and seafood.","Katharine E. Harbury,",Colonial Virginia's Cooking Dynasty,"(Columbia: University of South Carolina Press, 2004)","Andrew F. Smith, ed.,",The Oxford Companion to American Food and Drink,"(New York: Oxford University Press, 2007)",30 pounds,6 pence per lb,3.4,5.6,"The databases record six purchases of butter. Most sales were made by weight ranging from twenty-one to thirty pounds. One cask of butter is also listed. Though not all of the purchases have a listed price, all of the ones that do are for six pence.",Paper,Nail,Shoes,Allspice,Rum,Cotton,Handkerchief,,,
Cheese,Cheese,Stilton Cheese,Cheese.jpg,CheeseThumbnail.jpg,Stilton Cheese,,,,,Dominik Hundhammer via WikiMedia Commons,https://commons.wikimedia.org/wiki/Cheese#/media/File:Blue_Stilton_Quarter_Front.jpg,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/deed.en,CheeseLedger.jpg,Grocery,Charles Mason,29,,,,,"Though cheese was made at home, it could also be purchased at stores such as William Ramsay's. British styles of cheese were often preferred, but other types were common. Cheese was eaten on its own or as part of a meal. Cheese was also used to make a type of cheesecake.","Katharine E. Harbury,",Colonial Virginia's Cooking Dynasty,"(Columbia: University of South Carolina Press, 2004)","Andrew F. Smith, ed.,",The Oxford Companion to American Food and Drink,"(New York: Oxford University Press, 2007)",unspecified,10 shillings,68,112,The databases record seven purchases of cheese. Two of these are specified as Cheshire cheese. There is little other clear information from the ledger about these purchases.,Sugar,Glass,Nail,Button,Saltpetre,Ribbon,Thimble,,,
Cinnamon,Cinnamon,Cinnamon,Cinnamon.jpg,CinnamonThumbnail.jpg,Cinnamon,,,,,Bertrand THIRY via WikiMedia Commons,https://en.wikipedia.org/wiki/Cinnamon#/media/File:Baton_de_cannelle.jpg,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/deed.en,CinnamonLedger.jpg,Grocery,Daniel Talbot,124,Cinnamon originally came from South Asia.,,,SouthAsia,"As a spice, cinnamon was a common British colonial American ingredient in sauces for meat, savory pies, and cakes and other desserts. It was also used for medicinal purposes.","Katharine E. Harbury,",Colonial Virginia's Cooking Dynasty,"(Columbia: University of South Carolina Press, 2004)","Andrew F. Smith, ed.,",The Oxford Companion to American Food and Drink,"(New York: Oxford University Press, 2007)",1 ounce,8 pence per ounce,4.53,7.47,"The databases record seven purchases of cinnamon. One of these was for half of an ounce, four of these were for one ounce, one was for one pound. Dr. Walter Stewart purchased two pounds of cinnamon, perhaps as an ingredient for medical remedies. The prices for these ranged from nine pence for half an ounce to seventeen shillings for two pounds.",Hose,Handkerchief,Thread,Salt,Broadcloth,Buckram,Tea,,,
Clove,Clove,Clove,Clove.jpg,CloveThumbnail.jpg,Clove,,,,,Henna via Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Cloves-spice.jpg,CC BY-SA 1.0,https://creativecommons.org/licenses/by-sa/1.0/deed.en,CloveLedger.jpg,Grocery,Hannah Janey,129,Originally from Southeast Asia,,,SouthEastAsia,"Cloves became a common spice in the eighteenth-century British world. Cloves were used in spice mixtures for pickles, in cake recopies, and added to meat dishes.","Katharine E. Harbury,",Colonial Virginia's Cooking Dynasty,"(Columbia: University of South Carolina Press, 2004)","Andrew F. Smith, ed.,",The Oxford Companion to American Food and Drink,"(New York: Oxford University Press, 2007)",1 ounce,14 pence per ounce,7.93,13.1,The databases record five purchases of cloves. One purchase was for half of an ounce and the others were all for one ounce. These ranged in price from twelve pence for half an ounce to eighteen pence for one ounce.,Indigo,Paper,Button,Mohair,Osnaburg,Handkerchief,Check,,,
Coffee,Coffee,Coffee Beans,Coffee.jpg,CoffeeThumbnail.jpg,Coffee beans,,,,,MarkSweep via WikiMedia Commons,https://commons.wikimedia.org/wiki/Coffee#/media/File:Roasted_coffee_beans.jpg,Public Domain,https://en.wikipedia.org/wiki/Public_domain,CoffeeLedger.jpg,Grocery,Mary Janey,276,,,,,"Though tea was the preferred warm beverage of colonial Virginians prior to the Boston Tea Party of 1773, they did also drink coffee. Coffee drinking gained prominence in Britain and the British colonies after the opening of Turkish coffee houses in London toward the end of the seventeenth century. Serving coffee, along with tea, chocolate, and sweets, was considered a sign of proper English class.","Pippa Shirley, ""Tea, Coffee and Chocolate,"" in","Elegant Eating: Four Hundred Years of Dining in Style,","ed. Philippa Glanville and Hilary Young (London: Victoria and Albert Museum, 2002), 108-111","Katharine E. Harbury,",Colonial Virginia's Cooking Dynasty,"(Columbia: University of South Carolina Press, 2004)",1 pound,2 shillings per lb.,13.6,22.4,"The databases record twenty-three purchases of coffee. These ranged from one to thirteen pounds of coffee, which cost from eighteen pence to eighteen pounds.",Mohair,Button,Osnaburg,Thread,Indigo,Linen,Garter,,,
Ginger,Ginger (Root),Ginger Root,Ginger.jpg,GingerThumbnail.jpg,Ginger Root,,,,,Lucyin via WikiMedia Commons,https://commons.wikimedia.org/wiki/Category:Ginger#/media/File:Djindjipe.JPG,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/deed.en,GingerLedger.jpg,Grocery,Vorlinda Wade,125,Ginger came from South Asia when William Ramsay sold it in his shop.,,,SouthAsia,"Ginger was frequently used as an ingredient for cakes and was especially associated with the cookie that it gave its name to, gingerbread. It was also used in pickling.","Katharine E. Harbury,",Colonial Virginia's Cooking Dynasty,"(Columbia: University of South Carolina Press, 2004)","Andrew F. Smith, ed.,",The Oxford Companion to American Food and Drink,"(New York: Oxford University Press, 2007)",0.5 pounds,7 pence per 1/2 lb.,3.97,6.54,"The databases record seven purchases of ginger. There were no qualifiers used to indicate different types or qualities. Ginger was sold in increments from half of a pound to two pounds. In price, these ranged from seven pence for half a pound to ten pence for two pounds.",Tea,Allspice,Nutmeg,Dish,Thimble,Mitts,Ribbon,,,
Molasses,Molasses,Molasses,Molasses.jpg,MolassesThumbnail.jpg,Molasses,,,,,Badagnani via WikiMedia Commons,https://commons.wikimedia.org/wiki/Category:Molasses#/media/File:Blackstrapmolasses.JPG,CC BY 3.0,https://creativecommons.org/licenses/by/3.0/deed.en,MolassesLedger.jpg,Grocery,Jemima Minor,17,Molasses was imported to the colonies primarily from the West Indies.,,,WestIndies,"Molasses is a by-product from refining sugarcane into sugar. Though not as sweet as sugar, it was frequently used in desserts such as gingerbread. Molasses is used to make rum and was also used by poor people to make a kind of beer.","Sidney W. Mintz,",Sweetness and Power: The Place of Sugar in Modern History,"(New York: Penguin, 1986)","Katharine E. Harbury,",Colonial Virginia's Cooking Dynasty,"(Columbia: University of South Carolina Press, 2004)",1 gallon,"2 shillings, 4 pence per gallon",15.9,26.2,The databases record eleven purchases of molasses. These range in quantity from half of a gallon to sixteen gallons. In price these range from two shillings four pence for one gallon to four shillings six pence for half a gallon.,ShoeBuckle,Nail,Handkerchief,Hinge,Sugar,Check,Doll,,,
Nutmeg,Nutmeg,Nutmeg Nut and Powder,Nutmeg.jpg,NutmegThumbnail.jpg,Nutmeg Nut and Powder,,,,,Jorgebarrios via WikiMedia Commons,https://commons.wikimedia.org/wiki/Myristica_fragrans#/media/File:NuezMoscada.jpg,Public Domain,https://en.wikipedia.org/wiki/Public_domain,NutmegLedger.jpg,Grocery,Henry Rozer,22,Nutmeg is the seed of a tree that originally came from Indonesia.,,,Indonesia,"Nutmeg was used in a variety of cakes, savory pies, and even as part of a butter sauce for lobster.","Giles Milton,","Nathaniel's Nutmeg: or, The True and Incredible Adventures of the Spice Trader Who Changes the Course of History","(New York: Penguin, 2000)","Katharine E. Harbury,",Colonial Virginia's Cooking Dynasty,"(Columbia: University of South Carolina Press, 2004)",1 ounce,8 pence per ounce,4.53,7.47,The databases record eight purchases of nutmeg. All of the listed purchases were for one ounce. These ranged in price from four to twelve pence.,Decanter,Nail,Osnaburg,Scythe,Button,Thread,Silk,,,
Pepper,Pepper,Ground Black Pepper,Pepper.jpg,PepperThumbnail.jpg,Ground Black Pepper,,,,,Nithyasrm via WikiMedia Commons,https://commons.wikimedia.org/wiki/Category:Black_pepper#/media/File:Homemade_Pepper_powder.JPG,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/deed.en,PepperLedger.jpg,Grocery,Thomas Self,222,Pepper originated in India and spread to other nearby climates where it could be grown.,,,India,"Ground black pepper was the most common of all spices. Though colonial America only began to play a role in the trade of pepper after the Revolution, it was nonetheless commonly used during the colonial period. It was frequently added to meat and fish dishes, sauces, and pickles.","Katharine E. Harbury,",Colonial Virginia's Cooking Dynasty,"(Columbia: University of South Carolina Press, 2004)","Andrew F. Smith, ed.,",The Oxford Companion to American Food and Drink,"(New York: Oxford University Press, 2007)",1 pound,"1 shilling, 8 pence per lb.",11.3,18.6,The databases record six purchases of pepper from the Ramsay databases. These ranged from half a pound to two pounds. The cost ranged from ten pence for half a pound to one shilling eight pence for one pound.,Osnaburg,Handkerchief,Shot,Check,Primer,Pot,Scissors,,,
Salt,Salt,Salt,Salt.jpg,SaltThumbnail.jpg,Salt,,,,,Pinpin via WikiMedia Commons,https://commons.wikimedia.org/wiki/Salt#/media/File:France-Noirmoutier-Sel_brut.jpg,CC BY-SA 2.5,https://creativecommons.org/licenses/by-sa/2.5/deed.en,SaltLedger.jpg,Grocery,Elias Cockeril,203,,,,,"Along with pepper, salt was the most common colonial American condiment. It was frequently used for seasoning meat dishes and pickling. Salt was also the key ingredient for preserving meat.","Mark Kurlansky,",Salt: A World History,"(New York: Penguin, 2003)","Katharine E. Harbury,",Colonial Virginia's Cooking Dynasty,"(Columbia: University of South Carolina Press, 2004)",4 bushels,"1 shilling, 4 pence per bushel",9.07,15,The databases record thirty-four purchases of salt. These ranged from half a bushel to six bushels. Most purchases were for one bushel of salt. These purchases ranged from twelve pence for half a bushel to one pound eight shillings for two bushels.,Check,Gloves,Handkerchief,Nutmeg,Sugar,Thimble,Rum,,,
